Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Naviforce,http://yayvo.com/naviforce-nf9133-black-white-stainless-steel-quartz-watch-for-man.html,NAVIFORCE NF9133 Black & White Stainless Steel Quartz Watch For Man,"Rs.3,250","Rs.4,645",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/0/10c1cef1eade36e78f3457dcd6fe0891_1.JPG
Fit Right,http://yayvo.com/pakistan-printed-cotton-t-shirt.html,Pakistan Printed Cotton T-Shirt,Rs.399,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/6/a62a339b4a9a91152e50dc8b9d8e5a73_5.jpg
Karachi Kings,http://yayvo.com/blue-round-neck-t-shirt-kk-002.html,Official Digital Printed Round Neck 2018 T-shirt -KK-002,Rs.149,Rs.399,63%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/5/8531612842e8373d397659496d2bf349_14.jpg
Virtuals,http://yayvo.com/hum-sub-ka-pakistan-prted-t-shirt-tshirt.html,Hum Sub Ka Pakistan Prted T-Shirt Tshirt,"Rs.4,995",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/d/5d47ec6a43cd81074c8b5d893f11d1a4_2.jpg
Naviforce,http://yayvo.com/naviforce-nf9089-silver-golden-choronograph-watch-for-man.html,NAVIFORCE NF9089 SILVER & GOLDEN CHRONOGRAPH WATCH FOR MEN,"Rs.4,400","Rs.8,800",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/9/490272dadc44fde8c392d3f1e897dbdc_3.jpg
Regal Outfit,http://yayvo.com/pack-of-two-pakistan-t-shirt-for-him.html,PAck of Two Pakistan T-Shirt for Him,Rs.599,Rs.999,40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/9/d94136e64e815f5cc5f2c09b280d3f30_5.jpeg
Bhimani's,http://yayvo.com/mancare-pure-cotton-underwear-white.html,Mancare Pure Cotton Underwear-White,Rs.110,Rs.129,15%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/2/b2f3a7a37c53c9b3ea4c37f8df54e416.jpg
Regal Outfit,http://yayvo.com/pack-of-two-pakistan-independance-t-shirts-for-boys.html,Pack of two Pakistan Independance T-Shirts for Boys,Rs.999,"Rs.1,299",23%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/b/bb3c6384a7f3d11ee83d6ef2f680cdd8_5.jpeg
Maqbool And Sons,http://yayvo.com/white-vest-with-sleeves.html,WHITE VEST WITH SLEEVES,Rs.135,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/c/5cec9b1041a6f3ce56e09d24e32d1b57_1.jpg
Regal Outfit,http://yayvo.com/pack-of-four-pakistan-deal-for-him.html,Pack of four Pakistan Deal for Him,Rs.999,"Rs.1,500",33%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/0/e0c0a4ef5deb30a4c2955e08f78337b3_4.jpeg
